National Association of REALTORS®,,,,,,,,,,
Median Sales Price of Existing Single-Family Homes for Metropolitan Areas,,,,,,,,,,
,,,,,,,,,,
Metropolitan Area,2019,2020,2021,2021.III,2021.IV,2022.I,2022.II r,2022.III p,Q3-Q3,
,,,,,"(Not Seasonally Adjusted, 000s)",,,,%Chya,
"36780        Oshkosh-Neenah, WI",157.6,175.4,192.8,196.9,190.2,187.9,229.8,226.9,15.2%,
"37340        Palm Bay-Melbourne-Titusville, FL",238.9,260.4,305.0,320.0,325.0,333.8,363.7,368.5,15.2%,
"37460        Panama City, FL",229.5,255.0,298.5,305.0,320.0,338.5,359.3,367.5,20.5%,
"37860        Pensacola-Ferry Pass-Brent, FL",219.9,240.0,281.0,292.0,300.0,315.5,330.9,330.0,13.0%,
"37900        Peoria, IL",120.7,128.1,130.5,136.5,132.2,127.1,140.5,148.2,8.6%,
"37980        Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",246.2,272.9,305.0,324.8,306.6,297.9,346.3,349.2,7.5%,
"38060        Phoenix-Mesa-Scottsdale, AZ",287.1,333.0,415.4,429.6,445.8,474.5,496.0,474.4,10.4%,
"38340        Pittsfield, MA",223.2,266.3,302.4,302.7,312.6,303.7,324.0,332.8,9.9%,
"38940        Port St. Lucie, FL",250.0,271.0,332.0,343.5,355.0,379.5,410.0,410.0,19.4%,
"38860        Portland-South Portland, ME",308.5,356.2,418.1,431.1,422.8,439.4,493.8,482.0,11.8%,
"38900        Portland-Vancouver-Hillsboro, OR-WA",409.3,451.0,536.4,549.2,546.7,570.5,616.3,594.3,8.2%,
"39300        Providence-Warwick, RI-MA",311.1,347.3,396.1,416.9,400.5,406.7,457.7,453.8,8.9%,
"39460        Punta Gorda, FL",230.0,252.0,315.0,325.0,341.0,376.3,400.0,381.1,17.3%,
"39580        Raleigh, NC",291.5,325.2,392.8,403.5,419.0,439.1,477.6,460.5,14.1%,
"39740        Reading, PA",173.8,190.8,216.2,224.9,221.8,219.7,243.0,236.5,5.2%,
"39900        Reno, NV",393.9,440.8,531.8,553.9,565.6,595.2,623.0,591.1,6.7%,
"40060        Richmond, VA",277.1,303.4,342.8,355.3,347.0,354.5,391.9,384.4,8.2%,
"40140        Riverside-San Bernardino-Ontario, CA",378.5,422.6,510.0,524.0,530.0,560.0,585.0,567.0,8.2%,
"40380        Rochester, NY",154.2,170.4,192.1,206.7,189.7,181.9,222.8,224.0,8.4%,
"40420        Rockford, IL",128.3,141.3,156.2,165.8,155.3,137.8,172.2,174.0,4.9%,
"40900        Sacramento--Roseville--Arden-Arcade, CA",380.0,421.0,500.0,512.0,515.0,545.0,570.0,535.0,4.5%,
"40980        Saginaw, MI",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"41180        St. Louis, MO-IL",187.5,205.8,226.1,235.7,220.7,216.7,258.0,256.8,9.0%,
"41420        Salem, OR",310.7,353.6,411.1,426.6,412.8,433.7,459.9,464.0,8.8%,
"41620        Salt Lake City, UT",355.2,391.0,486.1,500.8,505.7,556.9,605.0,561.2,12.1%,
"41700        San Antonio-New Braunfels, TX",236.6,254.3,291.2,300.9,312.5,321.1,349.5,342.7,13.9%,
"41740        San Diego-Carlsbad, CA",645.0,710.0,830.0,850.0,845.0,905.0,965.9,900.0,5.9%,
"41860        San Francisco-Oakland-Hayward, CA",988.0,1100.0,1320.0,1350.0,1310.0,1380.0,1550.0,1300.0,-3.7%,
"41940        San Jose-Sunnyvale-Santa Clara, CA",1265.0,1385.0,1640.0,1650.0,1675.0,1875.0,1900.0,1688.0,2.3%,
"42660        Seattle-Tacoma-Bellevue, WA",524.7,596.9,698.6,708.4,700.0,746.2,818.9,741.3,4.6%,
"42680        Sebastian-Vero Beach, FL",250.0,270.0,325.0,330.0,335.0,365.0,395.0,374.7,13.5%,
"43300        Sherman-Denison, TX",189.3,204.0,254.2,255.0,276.5,272.2,288.4,279.6,9.6%,
"43340        Shreveport-Bossier City, LA",176.4,179.5,196.4,192.1,200.7,194.3,228.7,220.6,14.8%,
"43620        Sioux Falls, SD",221.4,236.3,269.5,281.3,270.6,286.9,326.2,325.3,15.6%,
"43780        South Bend-Mishawaka, IN-MI",141.9,153.3,173.0,187.1,173.4,168.4,207.3,207.8,11.1%,
"43900        Spartanburg, SC",183.8,205.1,235.4,236.0,246.0,258.5,276.0,275.6,16.8%,
"44060        Spokane-Spokane Valley, WA",265.3,307.4,382.1,399.5,389.2,404.3,458.1,422.5,5.8%,
"44100        Springfield, IL",141.8,148.0,146.7,158.9,153.7,139.7,154.9,167.4,5.3%,
"44140        Springfield, MA",229.0,249.0,287.5,298.9,290.6,288.3,334.6,324.6,8.6%,
"44180        Springfield, MO",154.6,172.1,198.6,204.5,212.1,218.5,243.5,235.1,15.0%,
"45060        Syracuse, NY",146.5,161.4,177.5,188.0,181.9,173.3,196.3,208.1,10.7%,
"45220        Tallahassee, FL",227.0,248.0,273.7,278.9,280.0,296.5,310.0,319.0,14.4%,
"45300        Tampa-St. Petersburg-Clearwater, FL",245.0,272.0,330.0,341.0,355.0,379.9,411.0,405.1,18.8%,
"45780        Toledo, OH",131.0,145.2,158.5,167.2,158.7,155.7,173.3,175.2,4.8%,
"45820        Topeka, KS",135.7,146.4,169.2,172.5,175.4,158.7,189.6,188.9,9.5%,
"45940        Trenton, NJ",276.3,300.0,353.7,371.9,346.7,330.9,370.6,398.0,7.0%,
"46060        Tucson, AZ",238.9,265.1,331.2,338.6,349.8,360.3,380.7,376.1,11.1%,
"46140        Tulsa, OK",173.2,195.9,221.6,228.9,228.6,229.2,251.7,246.5,7.7%,
"46520        Urban Honolulu, HI",802.5,851.5,996.2,1047.8,1054.5,1127.9,1145.0,1127.4,7.6%,
"47260        Virginia Beach-Norfolk-Newport News, VA-NC",235.0,275.0,285.0,290.0,285.0,289.9,336.4,327.3,12.9%,
"47900        Washington-Arlington-Alexandria, DC-VA-MD-WV",440.9,475.4,544.3,548.6,537.4,553.0,626.7,581.3,6.0%,
"47940        Waterloo-Cedar Falls, IA",133.1,138.4,152.4,159.2,153.3,151.9,174.1,174.5,9.6%,
"48620        Wichita, KS",158.2,175.0,191.2,196.8,192.1,190.0,213.6,220.2,11.9%,
"48660        Wichita Falls, TX",125.9,140.9,158.6,157.4,172.1,174.0,182.5,176.4,12.1%,
"48900        Wilmington, NC",264.7,301.7,355.3,370.9,370.3,387.8,424.9,411.1,10.8%,
"49180        Winston-Salem, NC",177.3,202.4,235.6,241.2,246.5,261.2,289.8,283.0,17.3%,
"49340        Worcester, MA-CT",288.1,325.2,371.7,386.9,374.1,373.2,425.4,431.0,11.4%,
"49420        Yakima, WA",248.9,281.3,327.1,337.6,330.5,335.8,363.4,359.2,6.4%,
"49620        York-Hanover, PA",184.1,199.3,221.0,233.6,225.1,222.2,248.7,245.4,5.1%,
"49660        Youngstown-Warren-Boardman, OH-PA",102.6,119.0,133.3,139.7,136.4,132.2,143.3,148.0,5.9%,
"78010        St Croix, Virgin Islands",285.3,317.5,319.4,327.5,301.0,350.0,350.0,392.0,19.7%,
,,,,,,,,,,
*All areas are metropolitan statistical areas (MSA) as defined by the US Office of Management and Budget though in some areas an exact match is not possible from the available data.,,,,,,,,,,
MSAs include the named central city and surrounding areas and may not match local reporting due to differences in specification.  N/A  Not Available   p  Preliminary   r  Revised,,,,,,,,,,
©2022 National Association of REALTORS®,,,,,,,,,,
